dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
yeast1,1,0,Uniform,"[[89, 17], [26, 17]]",0.7114093959731543,0.19550561797752808,0.2952808988764045,0.33564176941828605,0.5411152725759467,0.39911094439134204,0.30601747815230956,0.4203208129490961,0.9914081978326039,0.7367977528089887,"[0.08102564102564103, 0.5055555555555555]","[0.2, 0.5533333333333333]","[0.23714910965703107, 0.6023927229383517]","[0.5310541310541311, 0.5683641975308642]","[0.2855985534341452, 0.7065403365670836]","[0.2231965811965812, 0.530324074074074]","[0.3909730937715033, 0.49980421905507655]","[0.9892534891269068, 0.9972438672438672]","[0.7339743589743589, 0.7444444444444445]"
yeast1,1,1,Uniform,"[[80, 26], [23, 20]]",0.6711409395973155,0.20898876404494382,0.309063670411985,0.35233446607933605,0.536079900124844,0.4133191508443998,0.31082397003745316,0.4204938641337178,0.9915515313239677,0.7364232209737828,"[0.0811965811965812, 0.5087719298245614]","[0.2012820512820513, 0.5619047619047619]","[0.24579547782155609, 0.602260513721647]","[0.5281932573599241, 0.5545808966861598]","[0.28881710668154165, 0.7053840965497512]","[0.22432336182336182, 0.5137426900584795]","[0.3874999811576725, 0.4978930482579747]","[0.9892238270402827, 0.9970120105458451]","[0.734375, 0.7412280701754386]"
yeast1,1,2,Uniform,"[[93, 13], [23, 20]]",0.7583892617449665,0.199250936329588,0.30382022471910114,0.3537707489256614,0.540574282147316,0.41220345765366134,0.30679151061173526,0.41583945222336804,0.9914497721182403,0.7372659176029962,"[0.07700534759358289, 0.485]","[0.20106951871657755, 0.544]","[0.24691814091723915, 0.6035387201453485]","[0.5312537136066547, 0.5623611111111111]","[0.2868692757621718, 0.7051721078250176]","[0.21240641711229946, 0.5274166666666666]","[0.38492225155351656, 0.4881084087891459]","[0.9891197906089939, 0.996896103896104]","[0.73475935828877, 0.743125]"
yeast1,1,3,Uniform,"[[90, 16], [24, 19]]",0.7315436241610739,0.18876404494382024,0.2960299625468165,0.34815951889006264,0.5397419891801915,0.40707823417168487,0.286729088639201,0.4182133025293189,0.9912172807991327,0.7367041198501872,"[0.056782334384858045, 0.515625]","[0.19242902208201892, 0.5526041666666667]","[0.24443473857394732, 0.605040420141692]","[0.52652178992873, 0.572482638888889]","[0.28624921619170957, 0.7063188490127175]","[0.1907290571328426, 0.5244791666666667]","[0.3864290044673818, 0.4969291031983347]","[0.9889955942445661, 0.9967194264069263]","[0.7331756046267087, 0.7454427083333334]"
yeast1,1,4,Uniform,"[[94, 12], [22, 21]]",0.7718120805369127,0.20374531835205992,0.3188014981273408,0.3598019302270289,0.5452767374115689,0.41059119810738953,0.30754057428214726,0.4253629506994941,0.9926969616928372,0.7366104868913858,"[0.08404255319148936, 0.48860759493670886]","[0.21510638297872342, 0.5655696202531646]","[0.2539415676012499, 0.6117227931845788]","[0.5355791962174941, 0.5683544303797469]","[0.2870224935877196, 0.7046534316478698]","[0.20822695035460992, 0.5438818565400844]","[0.3986072359046513, 0.4890347783125377]","[0.9908328844600054, 0.9971329935886897]","[0.7341755319148936, 0.7424050632911392]"
yeast1,1,5,Uniform,"[[93, 13], [23, 20]]",0.7583892617449665,0.19550561797752808,0.298876404494382,0.34938081648882,0.54173949230129,0.41541687077014117,0.2864918851435705,0.4206227490873288,0.9911694325049467,0.7374531835205993,"[0.06918918918918919, 0.48048780487804876]","[0.20194594594594595, 0.5175609756097561]","[0.24159965881406434, 0.5925456234379639]","[0.5385585585585586, 0.5489159891598916]","[0.2869637951104164, 0.7052195414658617]","[0.20218018018018016, 0.4767073170731707]","[0.3907715051885863, 0.48797006763937006]","[0.9889485688219866, 0.9961799176433322]","[0.7341891891891892, 0.7448170731707318]"
yeast1,1,6,Uniform,"[[94, 12], [24, 19]]",0.7583892617449665,0.2104868913857678,0.30966292134831463,0.3499168253527865,0.5356637536412817,0.40527379542829517,0.3147066167290886,0.4231884893391206,0.9919067588332273,0.7365168539325843,"[0.08463949843260188, 0.5291005291005291]","[0.2077324973876698, 0.5677248677248677]","[0.24536941395752804, 0.6146043192820521]","[0.5258330430744224, 0.5605526161081716]","[0.28659299714395703, 0.7057434355291197]","[0.22471264367816093, 0.5425485008818343]","[0.3936502223488402, 0.49797187957641803]","[0.9898526954397753, 0.9971071256785543]","[0.7332810867293625, 0.7447089947089947]"
yeast1,1,7,Uniform,"[[90, 16], [23, 20]]",0.738255033557047,0.19775280898876405,0.31625468164794013,0.3447657443715,0.543029546400333,0.4119059258381258,0.30709113607990013,0.41676306259799223,0.9912288108547531,0.7366104868913858,"[0.07569296375266525, 0.48614609571788414]","[0.21343283582089553, 0.5591939546599496]","[0.24375211222316448, 0.5834327140317991]","[0.5349443259891021, 0.5621326616288833]","[0.2876915949480972, 0.7053896597798055]","[0.2142501776830135, 0.5264483627204031]","[0.38906269130842275, 0.4822112950151612]","[0.9889397946973991, 0.996637116032582]","[0.7336087420042644, 0.7437027707808564]"
yeast1,1,8,Uniform,"[[94, 12], [22, 21]]",0.7718120805369127,0.2202247191011236,0.30561797752808995,0.3465309242344769,0.5319184352892218,0.4105772148282536,0.31267166042446937,0.421055249858174,0.9911278746380439,0.7375468164794008,"[0.10191082802547771, 0.5038167938931297]","[0.2031847133757962, 0.5511450381679389]","[0.24206095581801082, 0.5969398561640217]","[0.5149799481009671, 0.5725190839694656]","[0.28755992325020163, 0.7054430892977825]","[0.22409766454352442, 0.5249787955894826]","[0.39311609131374964, 0.4880239199570232]","[0.988752721115859, 0.9968209907141204]","[0.73473991507431, 0.7442748091603053]"
yeast1,1,9,Uniform,"[[96, 10], [24, 19]]",0.7718120805369127,0.19625468164794008,0.29947565543071164,0.33823622609665605,0.5374947981689555,0.3996001372940495,0.3069787765293383,0.41673146993610627,0.9914749605078149,0.7343632958801498,"[0.07881269191402251, 0.5167597765363129]","[0.1987717502558854, 0.5743016759776536]","[0.24333487287874433, 0.5972267906047558]","[0.5331513704082793, 0.5493482309124766]","[0.2876139737106052, 0.7052160083024996]","[0.21322074377345615, 0.5628491620111732]","[0.3897949744617118, 0.4902425204346634]","[0.989260372534539, 0.9975186824348835]","[0.7309365404298874, 0.7437150837988827]"
