dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
mammographic,1,0,Uniform,"[[36, 6], [9, 32]]",0.8192771084337349,0.1606425702811245,0.27282463186077643,0.23522567559706226,0.44349620705042386,0.29695878680931703,0.26200144493317185,0.24233441358549307,0.9854594489839937,0.7394912985274431,"[0.15702479338842976, 0.1640625]","[0.25674931129476586, 0.28802083333333334]","[0.2224892930641634, 0.24726553721019318]","[0.4072543617998164, 0.4777560763888889]","[0.2819875818208986, 0.3111112540249313]","[0.25328610783156236, 0.27024016203703705]","[0.2090997240775613, 0.27375158101095987]","[0.9802499426078972, 0.9903840604801477]","[0.734435261707989, 0.7442708333333333]"
mammographic,1,9,Uniform,"[[38, 4], [12, 29]]",0.8072289156626506,0.16198125836680052,0.27791164658634543,0.2406290308012956,0.4282686300758589,0.29566630775615194,0.28072607891885004,0.24851602318766697,0.984767884248598,0.7263721552878178,"[0.16624040920716113, 0.15730337078651685]","[0.25882352941176473, 0.298876404494382]","[0.23975638229106733, 0.24158747340663064]","[0.3922634271099744, 0.467813670411985]","[0.2856994409750902, 0.30661306312523945]","[0.2719157228108635, 0.2904026217228464]","[0.23672507558433398, 0.2614661931677322]","[0.9796062446717818, 0.9904369883905507]","[0.7125319693094629, 0.7415730337078652]"
mammographic,1,19,Uniform,"[[38, 4], [11, 30]]",0.8192771084337349,0.15930388219544847,0.27951807228915665,0.23511130830411892,0.4285475234270415,0.2863601805689745,0.27109177450542915,0.24507477667193037,0.9844048110725451,0.7303882195448459,"[0.15508021390374332, 0.16353887399463807]","[0.246524064171123, 0.3126005361930295]","[0.22502047021986785, 0.2452291995735825]","[0.37990196078431376, 0.47732350312779265]","[0.26337543306537053, 0.3094065493795586]","[0.25824420677361853, 0.2839737861185582]","[0.2119591182766116, 0.278279216993242]","[0.9780873997326203, 0.9907391591720942]","[0.7203208556149732, 0.7404825737265415]"
mammographic,1,29,Uniform,"[[39, 3], [13, 28]]",0.8072289156626506,0.16198125836680052,0.2926372155287818,0.24456689944734797,0.42587014725568945,0.3067849937683943,0.2601825290580311,0.24793383679356937,0.9844118703190725,0.7456492637215527,"[0.15816326530612246, 0.16619718309859155]","[0.2627551020408163, 0.3256338028169014]","[0.23144913593096753, 0.259051866485154]","[0.38860544217687076, 0.46701877934272296]","[0.2888959256041185, 0.3265385563610594]","[0.23276846452866862, 0.29045383411580594]","[0.21756502873335323, 0.2814678445671038]","[0.9793261054421768, 0.990027700831025]","[0.7367346938775511, 0.7554929577464788]"
mammographic,1,39,Uniform,"[[38, 4], [10, 31]]",0.8313253012048193,0.1686746987951807,0.27095046854082994,0.2364969428181096,0.4226907630522088,0.28677535248867964,0.25422005482246446,0.2509761678236879,0.9841889391205944,0.7386880856760374,"[0.14511873350923482, 0.19293478260869565]","[0.22374670184696568, 0.3195652173913044]","[0.20955033379318488, 0.2642490211345403]","[0.3745602462620933, 0.4722599637681159]","[0.24962198895589285, 0.3250392785183704]","[0.21170373162457592, 0.2980072463768116]","[0.2059263866518942, 0.2973725457152906]","[0.9774832343887423, 0.991095086113453]","[0.7224274406332454, 0.7554347826086957]"
mammographic,1,49,Uniform,"[[38, 4], [10, 31]]",0.8313253012048193,0.1646586345381526,0.27255689424364127,0.24076798733285285,0.4244199018295403,0.2929212600287478,0.26486262510358893,0.24808959386429272,0.9845931027124811,0.7285140562248995,"[0.185378590078329, 0.14285714285714285]","[0.2668407310704961, 0.2785714285714286]","[0.23909683052071126, 0.24252637485771616]","[0.3925152306353351, 0.4579899267399268]","[0.2747313105971713, 0.3120606848427418]","[0.26484520701230885, 0.2648809523809524]","[0.23494275115701954, 0.2619226728667258]","[0.9796494234116624, 0.9897948312075736]","[0.7195822454308095, 0.737912087912088]"
mammographic,1,59,Uniform,"[[38, 4], [11, 30]]",0.8192771084337349,0.19410977242302543,0.29451137884872824,0.25345134304389544,0.42514502454261494,0.31011457782042745,0.28241962559231637,0.25513950712365113,0.9844762919792436,0.731726907630522,"[0.2074074074074074, 0.1783625730994152]","[0.28345679012345676, 0.30760233918128654]","[0.24343161310042433, 0.2653168127137956]","[0.3929012345679012, 0.46332846003898637]","[0.29675928694959003, 0.3259300538516823]","[0.25801293356848914, 0.3113222871994802]","[0.2314094345945611, 0.28324090880283675]","[0.9795203189300412, 0.9903452074322464]","[0.7130864197530864, 0.7538011695906434]"
mammographic,1,69,Uniform,"[[38, 4], [14, 27]]",0.7831325301204819,0.14056224899598393,0.285140562248996,0.2327476611099353,0.41365461847389556,0.28784251314713694,0.278416310745628,0.25455035565458656,0.9839028320113324,0.7448460508701472,"[0.12276214833759591, 0.1601123595505618]","[0.23989769820971865, 0.3348314606741573]","[0.21041092713453202, 0.2572804223020215]","[0.38107416879795397, 0.449438202247191]","[0.2537000525639101, 0.32534167631579336]","[0.23547679941541833, 0.3255774032459426]","[0.20659599491729883, 0.30721933050930433]","[0.9773017902813299, 0.9911528525631049]","[0.7309462915601024, 0.7601123595505619]"
mammographic,1,79,Uniform,"[[38, 4], [13, 28]]",0.7951807228915663,0.15796519410977242,0.26961178045515394,0.23195938987077383,0.4339580544399822,0.2887313213912676,0.2729043156754,0.24894944977046476,0.9850466327452005,0.7386880856760374,"[0.17922077922077922, 0.13535911602209943]","[0.27116883116883117, 0.26795580110497236]","[0.231769801415469, 0.23216102400141572]","[0.3972943722943723, 0.47295119705340705]","[0.2884033704694744, 0.28908010897383773]","[0.2828385899814471, 0.2623388581952118]","[0.2566541556752557, 0.24075521835238606]","[0.9811891233766233, 0.9891492324880243]","[0.736103896103896, 0.7414364640883977]"
mammographic,1,89,Uniform,"[[38, 4], [13, 28]]",0.7951807228915663,0.1539491298527443,0.2872824631860777,0.23680795374833333,0.41934404283801874,0.29966644015902216,0.28311128110324896,0.24590242684147937,0.9841114129494279,0.7362784471218204,"[0.15167095115681234, 0.1564245810055866]","[0.2663239074550129, 0.3100558659217877]","[0.23041702214288726, 0.24375229004587123]","[0.3929948586118252, 0.4479748603351955]","[0.2805075572660203, 0.3204843324645466]","[0.260613294160852, 0.3075574177529485]","[0.220737983290782, 0.27324591438679013]","[0.9789457476435304, 0.9897243844689643]","[0.7218508997429306, 0.7519553072625698]"
