dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
teaching_assistant_MH,1,0,Uniform,"[[0, 5], [2, 4]]",0.36363636363636365,0.2967032967032967,0.42197802197802203,0.0642072213500785,0.5613553113553112,0.4708378335924876,0.5593406593406594,0.28113989185417004,0.9560106560106559,0.29670329670329665,"[0.3, 0.29411764705882354]","[0.43499999999999994, 0.4117647058823529]","[0.0375, 0.08515406162464988]","[0.5166666666666667, 0.5964052287581699]","[0.48208387770165234, 0.4620174068402014]","[0.5079166666666667, 0.5996732026143791]","[0.24309523809523698, 0.3109788359788235]","[0.9465909090909091, 0.9633986928104575]","[0.29166666666666663, 0.3006535947712418]"
teaching_assistant_MH,1,9,Uniform,"[[2, 3], [3, 3]]",0.45454545454545453,0.31868131868131866,0.40219780219780227,0.05227629513343799,0.5531135531135531,0.4671009249313129,0.6007326007326007,0.22121489621488788,0.9552780552780552,0.28937728937728935,"[0.23076923076923078, 0.38461538461538464]","[0.36923076923076925, 0.4269230769230769]","[0.038461538461538464, 0.06263736263736265]","[0.5555555555555556, 0.5512820512820513]","[0.46272958667533304, 0.47037942862329785]","[0.5277777777777778, 0.655448717948718]","[0.17924297924297405, 0.2526938339438232]","[0.9452214452214454, 0.9628205128205128]","[0.29059829059829057, 0.28846153846153844]"
teaching_assistant_MH,1,19,Uniform,"[[2, 3], [3, 3]]",0.45454545454545453,0.24175824175824176,0.3868131868131868,0.05667189952904239,0.5073260073260074,0.45357381607556996,0.6166666666666666,0.24816255173397417,0.9522588522588523,0.2637362637362637,"[0.22727272727272727, 0.2553191489361702]","[0.3772727272727273, 0.39574468085106385]","[0.04448051948051948, 0.06808510638297872]","[0.5208333333333334, 0.4946808510638298]","[0.47694388782771635, 0.4316954510310074]","[0.6049242424242425, 0.6276595744680851]","[0.18816410861864857, 0.3043313069908747]","[0.9431818181818182, 0.9607565011820332]","[0.29545454545454547, 0.23404255319148937]"
teaching_assistant_MH,1,29,Uniform,"[[3, 2], [3, 3]]",0.5454545454545454,0.23076923076923078,0.38021978021978026,0.07315541601255887,0.543040293040293,0.45809612504501573,0.5388278388278388,0.18104514533085214,0.9475801975801977,0.28937728937728935,"[0.3023255813953488, 0.16666666666666666]","[0.4093023255813954, 0.3541666666666667]","[0.04883720930232558, 0.0949404761904762]","[0.5368217054263565, 0.548611111111111]","[0.4811051507261672, 0.43748387287231766]","[0.4775193798449612, 0.59375]","[0.16060606060605406, 0.19935515873015042]","[0.9381606765327696, 0.9560185185185186]","[0.32558139534883723, 0.2569444444444444]"
teaching_assistant_MH,1,39,Uniform,"[[3, 2], [3, 3]]",0.5454545454545454,0.2967032967032967,0.44395604395604404,0.05070643642072214,0.5558608058608059,0.4610686304174978,0.6043956043956044,0.22882990025846817,0.9550005550005549,0.293040293040293,"[0.30434782608695654, 0.28888888888888886]","[0.45217391304347826, 0.4355555555555556]","[0.04565217391304348, 0.055873015873015894]","[0.6014492753623188, 0.5092592592592593]","[0.4748142080752951, 0.447017595478416]","[0.5072463768115941, 0.7037037037037037]","[0.2590344438170456, 0.19795414462081126]","[0.950592885375494, 0.9595061728395061]","[0.3188405797101449, 0.26666666666666666]"
teaching_assistant_MH,1,49,Uniform,"[[3, 2], [3, 3]]",0.5454545454545454,0.34065934065934067,0.4967032967032967,0.07912087912087912,0.5934065934065934,0.4626800612630052,0.6032967032967033,0.27280497280496313,0.9608613608613608,0.304029304029304,"[0.3469387755102041, 0.3333333333333333]","[0.5224489795918368, 0.4666666666666667]","[0.10932944606413994, 0.04387755102040817]","[0.608843537414966, 0.5753968253968255]","[0.4628697788351511, 0.46245872409550143]","[0.6510204081632652, 0.5476190476190477]","[0.25875960773918655, 0.28919123204836916]","[0.9536178107606679, 0.9693121693121692]","[0.31292517006802717, 0.2936507936507936]"
teaching_assistant_MH,1,59,Uniform,"[[3, 2], [3, 3]]",0.5454545454545454,0.3516483516483517,0.44395604395604404,0.05667189952904239,0.5576923076923077,0.47257483431960845,0.6172161172161172,0.2072546501117881,0.9555222555222554,0.27472527472527475,"[0.24390243902439024, 0.44]","[0.45365853658536587, 0.436]","[0.06585365853658537, 0.04914285714285715]","[0.6321138211382115, 0.49666666666666665]","[0.4575513854587391, 0.4848940623855211]","[0.5650406504065041, 0.66]","[0.21133987963255377, 0.20390476190476026]","[0.9478935698447895, 0.9617777777777777]","[0.30894308943089427, 0.24666666666666665]"
teaching_assistant_MH,1,69,Uniform,"[[3, 2], [3, 3]]",0.5454545454545454,0.3516483516483517,0.46373626373626375,0.06467817896389326,0.5686813186813187,0.478684781852529,0.6148351648351648,0.2330494901923385,0.9586635586635588,0.293040293040293,"[0.23529411764705882, 0.5]","[0.4392156862745098, 0.495]","[0.08431372549019607, 0.039642857142857146]","[0.6111111111111112, 0.5145833333333333]","[0.4691887321105894, 0.4907922452735022]","[0.5676470588235294, 0.675]","[0.2566675154910323, 0.2029365079365039]","[0.9554367201426025, 0.9627777777777778]","[0.3006535947712418, 0.2833333333333333]"
teaching_assistant_MH,1,79,Uniform,"[[3, 2], [3, 3]]",0.5454545454545454,0.31868131868131866,0.42857142857142866,0.05510204081632654,0.5778388278388279,0.47768371577619345,0.5888278388278387,0.23126199197627026,0.9575147075147077,0.304029304029304,"[0.3333333333333333, 0.30612244897959184]","[0.4523809523809524, 0.40816326530612246]","[0.04421768707482993, 0.06443148688046647]","[0.5773809523809523, 0.5782312925170068]","[0.4816706946360804, 0.4742663053248617]","[0.5218253968253969, 0.6462585034013606]","[0.2273242630385421, 0.23463718820860865]","[0.952922077922078, 0.961451247165533]","[0.30952380952380953, 0.29931972789115646]"
teaching_assistant_MH,1,89,Uniform,"[[3, 2], [3, 3]]",0.5454545454545454,0.24175824175824176,0.3956043956043957,0.05996860282574568,0.5631868131868132,0.4457949673338406,0.5441391941391942,0.22407116692829931,0.9543567543567543,0.2967032967032967,"[0.23255813953488372, 0.25]","[0.3767441860465116, 0.41250000000000003]","[0.03953488372093023, 0.07827380952380954]","[0.5116279069767442, 0.609375]","[0.4541896801401741, 0.43827470377816696]","[0.4674418604651163, 0.6128472222222222]","[0.1062015503875895, 0.3296626984126852]","[0.9323467230443975, 0.974074074074074]","[0.3178294573643411, 0.27777777777777773]"
teaching_assistant_MH,1,99,Uniform,"[[3, 2], [3, 3]]",0.5454545454545454,0.31868131868131866,0.46593406593406594,0.11334379905808478,0.6291208791208791,0.4777367910802124,0.6014652014652014,0.32163193948906443,0.9648795648795649,0.28937728937728935,"[0.3181818181818182, 0.3191489361702128]","[0.5, 0.4340425531914893]","[0.07175324675324675, 0.15227963525835866]","[0.6420454545454546, 0.6170212765957447]","[0.47625088940994087, 0.47912784796301977]","[0.6303030303030304, 0.574468085106383]","[0.3024498229043566, 0.33958966565347176]","[0.9586776859504131, 0.9706855791962175]","[0.303030303030303, 0.2765957446808511]"
teaching_assistant_MH,1,109,Uniform,"[[3, 2], [3, 3]]",0.5454545454545454,0.2857142857142857,0.4263736263736265,0.10518053375196232,0.5421245421245421,0.46938756934166503,0.5586080586080585,0.29241234955518913,0.9594738594738594,0.2747252747252747,"[0.34146341463414637, 0.24]","[0.46829268292682924, 0.392]","[0.12334494773519163, 0.09028571428571429]","[0.5833333333333334, 0.5083333333333333]","[0.4815261986262375, 0.45943389332831563]","[0.5528455284552846, 0.5633333333333334]","[0.334494773519148, 0.2579047619047428]","[0.9523281596452329, 0.9653333333333333]","[0.30894308943089427, 0.24666666666666665]"
teaching_assistant_MH,1,119,Uniform,"[[3, 2], [3, 3]]",0.5454545454545454,0.31868131868131866,0.44175824175824185,0.07660910518053375,0.6144688644688644,0.46177544684577443,0.6135531135531136,0.25743938601080624,0.9574703074703075,0.315018315018315,"[0.3181818181818182, 0.3191489361702128]","[0.4772727272727273, 0.4085106382978723]","[0.038636363636363635, 0.11215805471124622]","[0.6193181818181818, 0.6099290780141844]","[0.4652624981719873, 0.4585109732637878]","[0.5681818181818182, 0.6560283687943262]","[0.22554112554112102, 0.28730158730157546]","[0.9509297520661157, 0.9635933806146573]","[0.3181818181818182, 0.3120567375886525]"
