dataset,n_ensemble,method_weights,compl_measure,loss_selected,loss_train_mean,loss_test_mean,train_acc_mean,test_acc_mean,loss_train_std,loss_test_std,train_acc_std,test_acc_std,conf_matr_train_total,conf_matr_test_total
WineQualityRed_5vs6,1,classic,none,log_loss,0.6802723027393924,0.6815638842598863,0.6787130643701832,0.663352995604904,0.0008348484906768159,0.0036909197850539584,0.007038231963516317,0.055668339409950716,"[[4790, 1339], [2475, 3267]]","[[524, 157], [287, 351]]"
WineQualityRed_5vs6,2,classic,none,log_loss,0.6700783360647513,0.6717972307466915,0.678544572373553,0.6656257228776312,0.0014886377747886427,0.006266241102282934,0.006868852573067629,0.054201330299818336,"[[4828, 1301], [2515, 3227]]","[[530, 151], [290, 348]]"
WineQualityRed_5vs6,3,classic,none,log_loss,0.6614729048068646,0.6638441001322308,0.6797235908651242,0.6724786028221142,0.0019648137018347216,0.009487413177259419,0.006090993155053318,0.05984186087046613,"[[4687, 1442], [2360, 3382]]","[[515, 166], [266, 372]]"
WineQualityRed_5vs6,4,classic,none,log_loss,0.6541780349389232,0.6570095120992974,0.678544572373553,0.6656257228776312,0.002412289889114766,0.011940714675500626,0.006868852573067629,0.054201330299818336,"[[4828, 1301], [2515, 3227]]","[[530, 151], [290, 348]]"
WineQualityRed_5vs6,5,classic,none,log_loss,0.6480101261766311,0.6508834742351141,0.6797235908651242,0.6724786028221142,0.002783830427389649,0.014420127717164891,0.006090993155053318,0.05984186087046613,"[[4687, 1442], [2360, 3382]]","[[515, 166], [266, 372]]"
WineQualityRed_5vs6,6,classic,none,log_loss,0.6426617628922365,0.6473727707732644,0.6792185403600737,0.6671408743927828,0.002984594420841739,0.015157922234019345,0.0062096933574890874,0.0607553499266423,"[[4770, 1359], [2449, 3293]]","[[523, 158], [281, 357]]"
WineQualityRed_5vs6,7,classic,none,log_loss,0.6378206386037542,0.6431575162040528,0.6808185761008002,0.6739764052741152,0.003008007991488401,0.016146067455845643,0.0061960489367826705,0.053223424374487696,"[[4700, 1429], [2360, 3382]]","[[517, 164], [266, 372]]"
WineQualityRed_5vs6,8,classic,none,log_loss,0.633369158997606,0.6398168785571848,0.6841038154643884,0.6709518852648624,0.0031748502108173964,0.016630702960939214,0.007517305718497394,0.05564761866585561,"[[4738, 1391], [2359, 3383]]","[[519, 162], [272, 366]]"
WineQualityRed_5vs6,9,classic,none,log_loss,0.6291192737987865,0.6363770462081381,0.6850305214458542,0.6754973398103169,0.0032835779995234148,0.0173456016302427,0.007996218306540532,0.05316347219261544,"[[4719, 1410], [2329, 3413]]","[[519, 162], [266, 372]]"
WineQualityRed_5vs6,10,classic,none,log_loss,0.6251162635837543,0.6333113470779441,0.6893270673599232,0.6739879713162156,0.0033175535398411436,0.018030910294718042,0.0074948625806914365,0.05130510805491241,"[[4710, 1419], [2269, 3473]]","[[513, 168], [262, 376]]"
WineQualityRed_5vs6,11,classic,none,log_loss,0.6213778511415287,0.6296510243331892,0.6874727335131716,0.677793199167245,0.0033495907754825284,0.018081873713361132,0.008001727838872812,0.05402206499339266,"[[4696, 1433], [2277, 3465]]","[[514, 167], [258, 380]]"
