n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6838306731436503,0.04784343008858594,0.2196457696878927,0.35081830243030765,0.48511175791832334,0.33697190647835484,0.2098815808153073,0.3176728735959929,0.9908733299313015,0.9761909707475305,0.04520649036057935,0.018854194932776756,0.010727555633070401,0.011185525614710588,0.03455773527631197,0.008699128852093401,0.006865373143994667,0.0056286998395213015,0.0005913728101467047,0.0015126903451136015,"[[493, 188], [229, 409]]","[0.048940837234887194, 0.046327594961038075]","[0.2184477774028309, 0.22094837422243327]","[0.364013752296953, 0.3324885930836089]","[0.47477110018199653, 0.49784893348384457]","[0.32831139215897964, 0.3488626292585316]","[0.19123821660478174, 0.23462277547650529]","[0.3010583448773189, 0.3399505575466847]","[0.9895284317033013, 0.9926675405186256]","[0.9854975882639143, 0.9637336675300642]","[0.018178793387843274, 0.020733414725701824]","[0.011614226506859764, 0.012051648595135082]","[0.015185404055386766, 0.021066263068008392]","[0.033973909338246296, 0.045364744252994506]","[0.009289782542927411, 0.008453686327378612]","[0.007622551536753352, 0.022852762688005922]","[0.008069368880429402, 0.008296975902140749]","[0.0009363135666087424, 0.000681820716890273]","[0.001878429053290272, 0.003679466241103067]"
0,DCP,0.6565174647235716,0.11245280663983274,0.2720070403558188,0.31226418421968616,0.534405631840289,0.39260283468812035,0.26251207659361964,0.3197145116025624,0.9933205885191974,0.9802497351034534,0.060372070073928794,0.032208099341656235,0.011343209248643626,0.016275761017716456,0.039636017650538875,0.006594701307273043,0.013662433648894001,0.006356463873163505,0.0006278274225331437,0.0025227949170995006,"[[493, 188], [265, 373]]","[0.11527697858536068, 0.10514809228159927]","[0.2921336628239596, 0.25717708611490275]","[0.3328404919118377, 0.29664844029107584]","[0.525699252744715, 0.536032516217631]","[0.39512237906775505, 0.39027216490423794]","[0.27641544691895187, 0.2509922717797581]","[0.30469182599391886, 0.32878788591681196]","[0.9930714834531257, 0.9935085742287522]","[0.9874024524721456, 0.9745257444511444]","[0.04805951627910941, 0.025368846256034864]","[0.022567530474455637, 0.019398238381046925]","[0.03448130384269838, 0.024626305034486283]","[0.031086492304621315, 0.05475135875296262]","[0.008231579695854902, 0.012637619525144682]","[0.021880444566320063, 0.017963117725577234]","[0.011802719049496795, 0.008893998086242205]","[0.0006012950739071381, 0.000573668507051511]","[0.0015460134639331364, 0.002926707170340257]"
0,F1,0.7119361554476058,0.23746415290223205,0.36515737265947884,0.43250362278349225,0.5267287407114443,0.4427938283257845,0.3555491842577633,0.32758728714319096,0.9946343256645276,0.9654237029610393,0.03509305242387118,0.030692797321285444,0.013122148902046148,0.008767574890471122,0.032314681392760086,0.004834521296490607,0.015440726103448257,0.00710635820563085,0.0003927221582641744,0.002842909737530661,"[[482, 199], [181, 457]]","[0.20320001770904952, 0.2723282196621621]","[0.3649792952811081, 0.36536579254213286]","[0.42541526519929657, 0.43965256196462466]","[0.5184501649912422, 0.5353105485670852]","[0.43258757866144826, 0.453117272112949]","[0.3515346264151905, 0.3596463574625577]","[0.3228550333373189, 0.33240293392551423]","[0.9942127642281366, 0.9950640640606592]","[0.969883321258769, 0.9609162957159582]","[0.03244065129825627, 0.03677278619151003]","[0.008746056023482326, 0.016910565847499972]","[0.008494502146342868, 0.008676448816073665]","[0.0247363460196514, 0.03953528507892389]","[0.0033864446104089592, 0.0066930039465292]","[0.014498130264144846, 0.020780343577263855]","[0.010355482459573852, 0.00861371263566188]","[0.0004396104706774993, 0.00041347762692610623]","[0.0022725309867763464, 0.0047445954333759695]"
0,Hostility,0.7043141337034466,0.013056782370177484,0.2191885578616834,0.36798885943505305,0.4934451753496794,0.3727198392250971,0.1917633827476568,0.28972423414003845,0.990869446456798,0.975976893852363,0.02457352260707907,0.0035341871542684616,0.014601454526502834,0.01527820189955592,0.034130075238831714,0.00992830621226964,0.02192253612371708,0.013300910880406894,0.00086825132770142,0.0025470461946124267,"[[508, 173], [217, 421]]","[0.011956088403265923, 0.01420552056127597]","[0.2138567183534943, 0.225342764277887]","[0.37579832151413467, 0.35942301811631483]","[0.47811468427664827, 0.5122054261496368]","[0.3583066550994408, 0.3890975161993487]","[0.17781261364365739, 0.20818226121798933]","[0.2744690719575467, 0.30698558321411806]","[0.989558614912648, 0.9923812439649369]","[0.9830252242247619, 0.9679220944329536]","[0.003246939093441045, 0.005072311101839904]","[0.015516061323200683, 0.016642994045619627]","[0.012858415013756189, 0.020562961616476354]","[0.02827806046364857, 0.049034601541129826]","[0.010738936022578917, 0.01035099489711856]","[0.01878733121551284, 0.027607089187118728]","[0.013939082051262599, 0.0156693500916403]","[0.0010439045236085777, 0.0007980864042292066]","[0.0036967051082516245, 0.004586162489947742]"
0,LSC,0.6868783252371038,0.08727055730004339,0.1240000113462624,0.37639788258431717,0.5133856326433094,0.3912511673996062,0.07290846561521933,0.25562577339890075,0.9878938269295734,0.9800199732898669,0.04422014733750291,0.012837403808522807,0.009647642891665378,0.013407090033450562,0.038731116482683355,0.0060307270630381585,0.007864572052733004,0.004555754410951031,0.0005832883502792482,0.0013462133197917866,"[[460, 221], [192, 446]]","[0.05661558115544929, 0.11929322447998629]","[0.11455876404090508, 0.1339800825964928]","[0.3713204704469927, 0.38178772995936033]","[0.49241028438378026, 0.5361419740031919]","[0.37684294940346386, 0.40632925832959277]","[0.06758605956063876, 0.07846158548927074]","[0.2480878362976382, 0.2635151242138781]","[0.98634626150844, 0.9895085403769744]","[0.985074548062908, 0.9747073481654167]","[0.018502855400516705, 0.01860483423108327]","[0.012186119644902812, 0.009869031045961332]","[0.016367282402958493, 0.012775174331607412]","[0.03455021563331367, 0.05263483146457858]","[0.0061672879498722655, 0.00695010506632553]","[0.007588186494142366, 0.012605826240220287]","[0.00988706185903727, 0.005420810695145364]","[0.0009215439260865111, 0.00047531853303296896]","[0.001223231562520351, 0.0018110311858535462]"
0,N1,0.7171987046032847,0.1178473870975977,0.2105805882469741,0.38824176225878804,0.5147126585722501,0.40334968658146175,0.025054738877927592,0.2752144990507586,0.9910424189495595,0.9784348230717994,0.03105054261497335,0.017480382953782788,0.010990747711646135,0.010226975833311511,0.03386155141901459,0.005578153125255403,0.005164417356869458,0.006307949819883403,0.0004282042113113988,0.0012635406208635004,"[[510, 171], [202, 436]]","[0.09548077973507905, 0.1424042296842967]","[0.21257846015008153, 0.2085153195580868]","[0.38618164476215977, 0.39056114770768013]","[0.4986718950036876, 0.5320247491557895]","[0.39395918934185087, 0.41398628588175007]","[0.026280851419676017, 0.02368151836123077]","[0.26572493619314386, 0.2860826277959754]","[0.9904675783931969, 0.9916894112853628]","[0.9827610360628005, 0.9736033987788272]","[0.033438580096924075, 0.02186162651777587]","[0.012684046484904586, 0.013170064294033643]","[0.011839497832976513, 0.01033234618159776]","[0.02828428908996014, 0.04645865702453465]","[0.0051886638969401225, 0.009443158953468622]","[0.004366894180419513, 0.006579057245808792]","[0.009353733425050912, 0.013054863898218685]","[0.0005966075949167257, 0.00047571409548170546]","[0.0010634602120217585, 0.0021246809639997788]"
0,N2,0.6686560259079343,0.16999353263043238,0.28747378304244353,0.42960151228916077,0.5248559272655225,0.4382871134670106,0.31029973363973645,0.08686268832909817,0.9929845186930709,0.9806633837287893,0.04962560090158356,0.014528816516622094,0.008376907639314014,0.01251602318434273,0.03505076040353688,0.006050452816321963,0.014961290655110222,0.007097185085469544,0.0003361704726308124,0.002225824661701387,"[[446, 235], [202, 436]]","[0.11944598388616509, 0.2254670650524191]","[0.2818024351017629, 0.2934673936831359]","[0.413053332239161, 0.4476301284134069]","[0.507456569946663, 0.5441233562578971]","[0.425510598511718, 0.4522219523307629]","[0.29042638520142805, 0.33195403961503656]","[0.09100131952291964, 0.0823359250361638]","[0.992534155094981, 0.9934778601021399]","[0.9830066781899385, 0.9780853655625996]","[0.020825370773914022, 0.03238981132643969]","[0.011531425597362407, 0.011096776729504798]","[0.014292683449502777, 0.009217731519770631]","[0.027514555079347667, 0.046410473713953716]","[0.006524029984848619, 0.0069637295515429555]","[0.018934170445680597, 0.02070015984812694]","[0.007735172184983454, 0.009729102307763906]","[0.0004994737826810608, 0.00037633553795419014]","[0.0019933934314478505, 0.003464268843892525]"
0,TD_U,0.6496877168632894,0.20915799386734518,0.32883099458499626,0.4304884204257175,0.39743117272263323,0.4272503725062632,0.32620215735334385,0.3069892490587858,0.9930782510000702,0.9754482934060938,0.03643576797430536,0.04290232358171934,0.022929735454076058,0.012643814998930178,0.029162637716012074,0.008778363665165793,0.01898345098630184,0.009781177635522498,0.0006020417059190331,0.003427290421220035,"[[459, 222], [240, 398]]","[0.19447021014808066, 0.23116333434236847]","[0.32479593131922335, 0.3372729023082248]","[0.4416691904125125, 0.41939312902015047]","[0.3951893126268734, 0.40043136844903116]","[0.4232982059517204, 0.43343713324869426]","[0.3180899937928774, 0.3414079847534585]","[0.29208902697185135, 0.32565017514973127]","[0.9922173173169823, 0.9942181249773728]","[0.9814703490546514, 0.9679721258802946]","[0.046106113733898585, 0.052943165969128535]","[0.029314460967157945, 0.041368045296289534]","[0.02001090309185349, 0.027624922413782053]","[0.026585099547589496, 0.03346949003851767]","[0.012399034310415922, 0.014325393592807698]","[0.03200128824336376, 0.0487364951872191]","[0.011173847398853264, 0.013845669606243647]","[0.0009435252540686165, 0.000987263143749318]","[0.002634741997291879, 0.005406546634059853]"
0,kDN,0.7020182743465186,0.0808682159987973,0.13481616218347472,0.3784139039604817,0.5131608706388473,0.3893196688129441,0.15021407813846735,0.2782788463436085,0.9903107007701463,0.9811533617557207,0.03147550605976331,0.011568254030628427,0.005542359624349055,0.013414572614348783,0.034423908568897515,0.007897645845704312,0.006996728690896309,0.00781886693263923,0.00034196040922158553,0.0014307241713732955,"[[490, 191], [202, 436]]","[0.059268665150318145, 0.10412322689682726]","[0.1315788622015334, 0.13845011653919442]","[0.3732436935821307, 0.3839585657694377]","[0.4970899668429487, 0.5303470107812029]","[0.3792940938273158, 0.40010542086313655]","[0.14275707891705447, 0.15837233054818006]","[0.2728698294524442, 0.2841403424890643]","[0.9892751322685243, 0.9914292599061906]","[0.9857455418825385, 0.9761957180244483]","[0.01753272029024466, 0.02056961735201498]","[0.00710458348196458, 0.008191584513832985]","[0.01288752959419205, 0.0145076461775438]","[0.03284722074638656, 0.044858116304730335]","[0.007363965289754065, 0.008047790322479154]","[0.007763326736284151, 0.010448782759892403]","[0.008010893467434225, 0.011198187272487007]","[0.000490246195813315, 0.00037796771517504776]","[0.0012917574954811849, 0.0022999050018982703]"
1,CLD,0.675468424705066,0.0760634284433779,0.24527092038044018,0.3632985981954302,0.4888541362729321,0.3537100212699253,0.23652454679448498,0.31677718097569996,0.9916507402520247,0.9770641687869995,0.04956365660241795,0.02255787715925864,0.013645260461146124,0.010831334098701463,0.03210602486259256,0.008143950611233132,0.008057126418992816,0.005154084113004039,0.0005493947079881831,0.0015372864195109732,"[[487, 194], [234, 404]]","[0.0687119006225465, 0.08536903466414646]","[0.24375686782981237, 0.24731197184580084]","[0.3701117400932826, 0.3547924895942865]","[0.48049374902200964, 0.5004657785209862]","[0.3431685140508776, 0.36733198174178944]","[0.21751764890565858, 0.2606002866846547]","[0.3004852940943, 0.33744786584165054]","[0.9905300937970456, 0.9931015562943379]","[0.985010856817337, 0.9668923197414525]","[0.024796922806899442, 0.02108674535929326]","[0.014640852435074684, 0.014720927038696372]","[0.015474331708577227, 0.013816803090930528]","[0.03338964260333179, 0.041127070836053034]","[0.008022395825405319, 0.009520132303980383]","[0.009553056961304996, 0.015559295095369905]","[0.006924338789709658, 0.00938548201590595]","[0.0007470826968072967, 0.0005119127945050867]","[0.0012347945261612894, 0.003193183066530205]"
