n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.8072289156626506,0.014190093708165995,0.08286479250334672,0.10936973215841436,0.43473199689171127,0.13928188076161532,0.09645311404347548,0.09298049421760148,0.9661597615930668,0.6532797858099062,0.06791780933850508,0.009257511810720171,0.006545136761306587,0.011681409877320628,0.049228959242464,0.009254689950433255,0.013201550275404017,0.004613710491370613,0.0021907029491258236,0.006338342134605867,"[[350, 77], [83, 320]]","[0.014082620305281675, 0.014916395210512856]","[0.0818946402335475, 0.08699239537736533]","[0.10643304904580224, 0.12447684424719836]","[0.4212293514993665, 0.5049916566468888]","[0.13427084874682324, 0.1652406311143209]","[0.0917322334084532, 0.12079411787555042]","[0.08699930952348418, 0.122756296106262]","[0.9639697100428919, 0.9771402622070349]","[0.6474728908481244, 0.6823015205692301]","[0.0088905109779007, 0.014985809889714943]","[0.00737847694058207, 0.00965513041281771]","[0.011780074511560197, 0.009801957511248155]","[0.05016365701856518, 0.05098553018369928]","[0.00949639296651876, 0.011000957325690291]","[0.016549384745423674, 0.02476687344978729]","[0.005549053381104204, 0.013741611514650608]","[0.002790126499674371, 0.0027388790928248754]","[0.006057211427434463, 0.009011760341583953]"
0,DCP,0.8301204819277108,0.029049531459170014,0.12211512717536814,0.08888257251160278,0.46047327882595734,0.1838184147876855,0.12279339580544399,0.1281737571165133,0.9731832768147205,0.7150468540829985,0.06536445313533736,0.006248804539557449,0.023988868831423045,0.01196733058363888,0.06074434405415807,0.020193915266864183,0.034736721737967796,0.022997225401205502,0.0049120952545266125,0.015639712109019457,"[[371, 56], [85, 318]]","[0.03143001062680879, 0.03659117985769643]","[0.10481019322539135, 0.1715761123211356]","[0.08552619170027344, 0.10412805344688385]","[0.43195553743675885, 0.5037717581157021]","[0.16113842700996378, 0.2297811892225205]","[0.10130396281889917, 0.17518066486564038]","[0.10933339017760324, 0.18233462103770828]","[0.9679975979334625, 0.9836553199330842]","[0.703247435468501, 0.740239190488352]","[0.016182044768895964, 0.017814742361424052]","[0.02578465267806984, 0.01519021601042459]","[0.017058068316245227, 0.006406136566631456]","[0.04945490961666255, 0.054006812973657496]","[0.010183978125428468, 0.018128508567795472]","[0.033196837176818476, 0.026346535016201635]","[0.0259228498018829, 0.018210243416497504]","[0.0034846056359927814, 0.0030127130902230454]","[0.012471658367931293, 0.009985565841290978]"
0,F1,0.7674698795180722,0.1318607764390897,0.21456492637215527,0.20646939805322595,0.4727224509530622,0.25684541344220974,0.22614898748432885,0.20437358688113033,0.9756385701016616,0.6225435073627844,0.044739027924927316,0.019616336135951155,0.012586009700434823,0.013058732012284784,0.04125992390759505,0.017928836618915756,0.019210682596663645,0.013990497467777013,0.002492257499071976,0.00531264119625561,"[[335, 92], [101, 302]]","[0.11642262575669156, 0.1515931545811864]","[0.18414477903563378, 0.25339283711298527]","[0.19243749725483472, 0.224475382797953]","[0.4374722801727242, 0.5162591830873968]","[0.22691687911548525, 0.2946869102895213]","[0.1969469062918756, 0.26317770588942224]","[0.1667635587985938, 0.25136266513950495]","[0.9665593076143448, 0.987106897921295]","[0.6105466921300631, 0.637788767911605]","[0.020728993772135614, 0.028232760972069462]","[0.018972245477028155, 0.019357764040678672]","[0.01707351971002964, 0.01257250246281033]","[0.03870449698200171, 0.04448018962289923]","[0.020615198266818846, 0.01476940648324193]","[0.029171119227553857, 0.024249007870873803]","[0.01449806867425999, 0.020092159434776994]","[0.0030812853874969018, 0.0027776180348550532]","[0.005808852835633203, 0.006849888418374703]"
0,Hostility,0.8048192771084338,0.0024096385542168672,0.10107095046854084,0.12220373969357601,0.418428067724751,0.1939173469127547,0.08522120226939503,0.1319467826904283,0.9667670140568487,0.7097456492637215,0.057864782825149806,0.0016456125760451383,0.026797921570050617,0.010917696531829823,0.044452704647731066,0.026041552203691358,0.018957397155866567,0.024834751702668054,0.004163245031838157,0.019075853767122838,"[[353, 74], [88, 315]]","[0.0023765204907525857, 0.002489852610429834]","[0.08345905221451697, 0.12261831258601305]","[0.12673726440829294, 0.11770688150886258]","[0.38825328485594657, 0.4511748845528646]","[0.16692026512469452, 0.22448383588532556]","[0.07184829372224474, 0.10273334565444711]","[0.11132740173218805, 0.15593120336301367]","[0.9577947778017787, 0.9775845166046373]","[0.6778654312167348, 0.749279215262124]","[0.0032838094707922923, 0.002215352520199912]","[0.02809317819994575, 0.022552887538407645]","[0.015366370890729605, 0.009365084229454866]","[0.046462826068661485, 0.05274538201802375]","[0.01813697163608809, 0.031203846158573644]","[0.023062474889324353, 0.01946724657203029]","[0.022302495000644157, 0.023722044299529302]","[0.004738611168423745, 0.004367431391877596]","[0.02770777932092609, 0.009924922932466199]"
0,LSC,0.8108433734939758,0.009504685408299867,0.02527443105756359,0.10821617063395465,0.42102975594215153,0.15944378124497383,0.034638022991436646,0.06598102392763493,0.9574430031498409,0.6862382864792502,0.05709312432124003,0.003809973084540216,0.0032503145781604755,0.008065412745326274,0.04761216922987132,0.007520996993534919,0.00804383059035647,0.006305380301037238,0.0032452885175476643,0.007927776699983173,"[[341, 86], [71, 332]]","[0.006764008105529471, 0.013315355071785481]","[0.013804993137892959, 0.04161030361851126]","[0.10507234046850836, 0.11261347825921537]","[0.38733981229715353, 0.4696782944809118]","[0.14602316613035066, 0.1782098219930852]","[0.024846679393331274, 0.04852517047341622]","[0.05269576073925675, 0.08509419008354498]","[0.9493345020325554, 0.9692773550226279]","[0.6483624007431736, 0.7410222473877116]","[0.004125387845693832, 0.006467817523189913]","[0.0026831667559165124, 0.006931238677603413]","[0.011139088281912147, 0.0060204839193218245]","[0.047032335165485065, 0.06284915800986826]","[0.009094110550974373, 0.011019075457378395]","[0.008008912854876562, 0.01578280261929078]","[0.005426008607571866, 0.011533558805530275]","[0.003594602802442189, 0.005167562108149297]","[0.009428305994590705, 0.008300664462665861]"
0,N1,0.808433734939759,0.0321285140562249,0.11381526104417672,0.14015218087208395,0.46839146568475787,0.19538260377821434,0.0057697456492637215,0.12786815628780873,0.9735360441166498,0.7204819277108433,0.07349507318073932,0.00512678504822671,0.009334154072539088,0.008056647219343765,0.049728847141959895,0.008285422944036658,0.001975407204234811,0.0087648080212435,0.001988627451466617,0.005409507348752097,"[[340, 87], [72, 331]]","[0.02902843048824714, 0.03524983844145298]","[0.09527762141002596, 0.1348839832341991]","[0.1336514877178619, 0.14729592312324238]","[0.4319939513648591, 0.5104195730470621]","[0.18073162775421564, 0.2118432181691836]","[0.004996388446901541, 0.006637007327648955]","[0.10133137899446679, 0.15792855274945922]","[0.9668556429146976, 0.981195436869492]","[0.7034521416590622, 0.7398348662149494]","[0.01002114309792975, 0.012894611477159982]","[0.008327912042886838, 0.02066539646436626]","[0.010517725109078724, 0.009558537408074894]","[0.0543740494388771, 0.05444482602558924]","[0.013751834729500296, 0.00936632268333587]","[0.002314348749196584, 0.0027089149402824255]","[0.012616540737868933, 0.012529783262583388]","[0.0030457981907808093, 0.003204002003880406]","[0.0057930730072255675, 0.00838016906011278]"
0,N2,0.808433734939759,0.058902275769745646,0.13410977242302544,0.14882592444476722,0.5108916775671208,0.1943160575148017,0.1598904613161641,0.007084566842702603,0.9768720380349387,0.7137884872824631,0.06802458908546564,0.014960334327746728,0.012439766989517128,0.010555361845373937,0.05202376514163862,0.012517668379619143,0.014123835741906256,0.001767361416481921,0.0017902888520960531,0.006216537177070238,"[[342, 85], [74, 329]]","[0.05943306480640544, 0.057723662593876145]","[0.11924665419709013, 0.1513726684020661]","[0.13222511155025324, 0.1680729743353773]","[0.4678935903270472, 0.5607740318348944]","[0.19171927776985725, 0.19756992964944778]","[0.1464655217448179, 0.17473830983963762]","[0.005950886014613095, 0.008448110415405595]","[0.9720558024736885, 0.982351680081664]","[0.6983711533630412, 0.7316567986886798]","[0.027927615091868155, 0.025218503575453396]","[0.014777309538288924, 0.01711296196714503]","[0.013021057469999405, 0.012403251252238396]","[0.055544473106654224, 0.05422543514719343]","[0.015056454432301821, 0.012245830327896542]","[0.02199826516658227, 0.025593825352431064]","[0.0018614236660138687, 0.003119075359110255]","[0.0023759153545139743, 0.0030134808595131133]","[0.010607439968552167, 0.006249340656988574]"
0,TD_U,0.7578313253012048,0.11352074966532796,0.20768406961178046,0.19077562742504073,0.32065857633432276,0.2675550842983369,0.21591891375023903,0.21905214639933068,0.9725115813804301,0.7133333333333333,0.03700449638486569,0.03250314578160474,0.016630915038299117,0.01439463581219345,0.02785504758382183,0.013004397712542063,0.018929859781552538,0.014596037733992467,0.002518262074854732,0.011793327922803255,"[[336, 91], [110, 293]]","[0.08286062784210532, 0.16087974613148454]","[0.16184341358134482, 0.2763491745163253]","[0.19074103850938812, 0.19254828827343273]","[0.32225070449170345, 0.3210923130648141]","[0.2179988067977518, 0.3424721576558874]","[0.16890403482957633, 0.28943755605367233]","[0.17235090702202754, 0.28920823695606773]","[0.9634209571711189, 0.9854439249441146]","[0.6889200220731927, 0.745165706789719]","[0.031462875542650856, 0.04024646080354729]","[0.011811771886168722, 0.03877633129379602]","[0.013237125799020207, 0.023781841523521575]","[0.024439733542686984, 0.03499034286515212]","[0.012286647032100662, 0.04397790263097693]","[0.025245200051640045, 0.05267554927378984]","[0.012477937739040264, 0.03844477754835038]","[0.004060522236009894, 0.003938901818803255]","[0.013301764760846246, 0.015435295453116204]"
0,kDN,0.8024096385542169,0.009370816599732263,0.0343239625167336,0.11216473580659625,0.44570402893036676,0.16090744008303792,0.06362263870295999,0.08333030794577274,0.9667816955389729,0.7027844712182061,0.05852991711561987,0.0035698348951361003,0.004380872526662722,0.007022890362806293,0.05003437568178164,0.010277938077917884,0.012116800589944758,0.004154642313974643,0.0020789143877978913,0.006322552007641472,"[[344, 83], [81, 322]]","[0.007375345561881458, 0.011824339738595414]","[0.027086256910683282, 0.04370289517416677]","[0.10870279437323213, 0.11647544823253098]","[0.409373887375462, 0.4922011575888779]","[0.148603949334777, 0.17660558160071543]","[0.05161033196594106, 0.07879719453946302]","[0.06786225220989582, 0.10323378875747716]","[0.9601730052575743, 0.9752171337481876]","[0.6795829775856383, 0.7326748991720349]","[0.004310766734422881, 0.007802288941601499]","[0.005673076119220356, 0.0077148685855361315]","[0.01090713539237255, 0.006228805298399604]","[0.05157696983309961, 0.05504958144585523]","[0.011326240232795758, 0.010532244055880496]","[0.012974306766492937, 0.022552953749625307]","[0.0059392703700317144, 0.006018575659565318]","[0.0028418842094096505, 0.004096303155136075]","[0.008023869911137783, 0.010344535932964001]"
1,CLD,0.7939759036144578,0.03400267737617135,0.1011512717536814,0.12256270970756307,0.4395675863892897,0.15490157091014764,0.11872994623998641,0.10872732641724876,0.9678191101452942,0.6620348058902275,0.057487262995266984,0.009039862391504219,0.006566458757013631,0.009975214619273257,0.048072961389134,0.00801395439091535,0.01091520917561045,0.006838752200632036,0.001622073819065321,0.006726143521094381,"[[344, 83], [88, 315]]","[0.02640143314106761, 0.06487545648585455]","[0.09011590904180952, 0.14546805486046782]","[0.11246682990740302, 0.16322150249954775]","[0.4229364531823598, 0.5076543930733749]","[0.1423473033546305, 0.20589681618261285]","[0.10611510332893917, 0.16807585279470755]","[0.09619087234295384, 0.15973226677968108]","[0.9646709503153019, 0.9804602436397948]","[0.6534865174233461, 0.6964076748138959]","[0.007690799720283106, 0.021596030324855166]","[0.009100034861809908, 0.025529401275339057]","[0.009325747032634368, 0.018465315986482655]","[0.05057835574682409, 0.051706946372507806]","[0.008069900745637177, 0.01280278850570072]","[0.017761108375737834, 0.0411582592222075]","[0.010086070529340591, 0.030376463922702338]","[0.0022124250476207408, 0.0030407562425237046]","[0.006628816106277479, 0.011018714291708143]"
