Dataset,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4
analcatdata_authorship,0.00832342449464923,0.00784780023781213,0.32649148132385,0.101312080028954,0.738852556480381,0.846016646848989,0.170812124667569,0.749961896332575,0.0455336004937606,0.00784119434535606,0.4344712260299,0.726379519785377,0.340897148900056,0.00176153574159297,0.72814452301013,0.763076835966253,0.228143477252405,0.388715170162273,0.484287722096058
arrhythmia_cfs,0.20575221238938,0.316371681415929,0.573684489428223,0.177084589612295,0.57260659694288,0.692232055063913,0.0710312443561495,0.664310700394184,0.331717624771329,0.316757971625228,0.471771640717309,0.981821469367404,0.715306718441616,0.00442477876106195,0.981899151862874,0.745515426931356,0.603953233046613,0.801924468005593,0.989751648918869
bands,0.315068493150685,0.368767123287671,0.625711275026344,0.466128729592794,0.638107098381071,,0.15276950565813,0.644085819728529,0.462394332221569,0.276679712981083,0.424692364082616,0.98868396546906,0.720542106460897,0.00547945205479452,0.988743299583085,0.750108147080029,0,0.769062042134019,0.979238513462604
banknote_authentication,0,0.00262390670553936,0.438519058417018,0.00427078238702889,0.661599333610995,0.611203665139525,0.0886878936051361,0.66257540083922,0.207954379530732,0.00230806608357629,0.103176821732713,0.853175435653403,0.793110692863862,0.00145772594752187,0.853387564802978,0.85149416909621,0.665698074725963,0.793241277619394,0.917045002473544
bodyfat,0.170634920634921,0.171428571428571,0.0154980627421573,0,1,1,0.0153769841269841,0.666582682455698,0.301298549360282,0.157331821617536,0.43065449057108,0.925838538475374,0.810818516295857,0.00793650793650794,0.92642829141065,0.828231292517007,0.022134825297166,0.758993091437072,0.967510002868554
breast-w,0.0300429184549356,0.0489270386266094,0.363755802750285,0.0454204913229205,0.544635193133047,0.673533619456366,0.163355635936553,0.634541613027126,0.0809888744072964,0.0503099666189795,0.178190226056783,0.556937870501675,0.802291112362102,0.00286123032904149,0.557995244900532,0.437291368621841,0.642897152006547,0.720749035144113,0.88025004979115
breastcancer,0.00527240773286468,0.00140597539543058,0.151754507217472,0,1,1,0.151329424564202,0.645020040503128,0.00348873220802411,0.00307557117750439,0.272411983512088,0.422561365193948,0.624716874313082,0.00351493848857645,0.424561090145512,0.804452255418864,0.574712795774429,0.763830399446701,0.968420865601058
bupa,0.411594202898551,0.408695652173913,0.654685990338164,0.421649581713208,0.694041867954912,0.702898550724638,0.115579710144928,0.658195057060842,0.473679878941363,0.401690821256039,0.462278888531056,0.990531765105722,0.882377707058737,0.00579710144927536,0.990586206896552,0.963285024154589,0.689437577588909,0.800214829498568,0.931683206152801
chatfield_4,0.127659574468085,0.176170212765957,0.41342062193126,0.130788870703764,0.486052009456265,0.723404255319149,0.136559784237339,0.652174437905538,0.226761894607433,0.170141843971631,0.363660122049139,0.798293214189646,0.764714198665615,0.00851063829787234,0.799835020187471,0.641843971631206,0.566746746579713,0.730930614251434,0.900856919763112
cleveland,0.432343234323432,0.468646864686469,0.710960569741185,0.51214334056134,0.565063649222065,1,0.34373742252274,0.703995977155471,0.417777271282918,0.47981298129813,0.471536954539638,0.964031779582099,0.815989453490102,0.00442133339784732,0.964331402317396,0.425742574257426,0.261649945517295,0.298138728456396,0.382602192716072
