n_cycle,n_ensemble,alpha,split,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std
73,218,2,1,0.814865,0.798795,0.120109
52,259,2,2,0.815125,0.799066,0.120683
33,296,2,4,0.814817,0.796814,0.120846
24,311,2,6,0.814947,0.797863,0.120697
13,220,2,8,0.814409,0.797571,0.121295
15,314,2,10,0.814597,0.796007,0.120751
12,299,2,12,0.814889,0.795281,0.121151
9,260,2,14,0.814776,0.796819,0.121031
10,329,2,16,0.814835,0.797546,0.120873
8,295,2,18,0.814698,0.79754,0.120753
8,327,2,20,0.814545,0.797546,0.120675
7,314,2,22,0.814576,0.797534,0.120887
6,293,2,24,0.814807,0.797571,0.120678
6,317,2,26,0.814277,0.797571,0.120983
4,227,2,28,0.814675,0.797557,0.120946
5,304,2,30,0.814436,0.79416,0.12091
73,218,4,1,0.814642,0.798303,0.12039
59,294,4,2,0.815057,0.798795,0.120666
34,305,4,4,0.814865,0.799078,0.120908
23,298,4,6,0.815223,0.797594,0.120772
17,288,4,8,0.815025,0.79531,0.120487
15,314,4,10,0.814462,0.794558,0.120681
11,274,4,12,0.814932,0.796062,0.120822
10,289,4,14,0.81475,0.795255,0.121095
9,296,4,16,0.814917,0.796386,0.12107
8,295,4,18,0.814809,0.796814,0.12115
8,327,4,20,0.815574,0.797571,0.120275
7,314,4,22,0.814869,0.795995,0.120555
7,342,4,24,0.814842,0.797583,0.120932
6,317,4,26,0.814768,0.796788,0.121168
6,341,4,28,0.81478,0.795255,0.120951
5,304,4,30,0.814825,0.798006,0.121156
85,254,6,1,0.814025,0.8,0.12049
50,249,6,2,0.815171,0.797863,0.120248
33,296,6,4,0.815142,0.797546,0.120793
22,285,6,6,0.814694,0.797721,0.120954
16,271,6,8,0.814987,0.796019,0.120586
15,314,6,10,0.814956,0.798334,0.120986
12,299,6,12,0.815269,0.796794,0.120726
9,260,6,14,0.814798,0.796013,0.121232
10,329,6,16,0.814859,0.79759,0.120718
8,295,6,18,0.815214,0.79759,0.120681
6,245,6,20,0.814603,0.797534,0.120923
7,314,6,22,0.81462,0.795281,0.121152
7,342,6,24,0.81438,0.796013,0.12104
4,211,6,26,0.815011,0.798006,0.120924
5,284,6,28,0.814908,0.796019,0.120721
4,243,6,30,0.814976,0.796837,0.120277
89,266,8,1,0.814087,0.798795,0.120266
59,294,8,2,0.814931,0.798303,0.120633
34,305,8,4,0.814981,0.797863,0.120777
24,311,8,6,0.814672,0.797857,0.120894
18,305,8,8,0.815389,0.797857,0.120703
15,314,8,10,0.814837,0.797863,0.120805
12,299,8,12,0.814542,0.798333,0.121166
11,318,8,14,0.815375,0.797588,0.120615
9,296,8,16,0.814954,0.796782,0.120961
9,332,8,18,0.81478,0.798309,0.120864
8,327,8,20,0.814795,0.797534,0.121079
7,314,8,22,0.814835,0.79759,0.120967
7,342,8,24,0.814957,0.79759,0.120695
4,211,8,26,0.814755,0.798701,0.121068
6,341,8,28,0.815266,0.796019,0.120355
3,182,8,30,0.81492,0.796776,0.120407
83,248,10,1,0.813235,0.797857,0.120334
50,249,10,2,0.814572,0.797436,0.120521
32,287,10,4,0.815461,0.798095,0.120344
24,311,10,6,0.814922,0.796776,0.121022
18,305,10,8,0.815033,0.797534,0.120782
15,314,10,10,0.815214,0.79677,0.121061
12,299,10,12,0.815031,0.796056,0.120743
10,289,10,14,0.81512,0.79759,0.120987
9,296,10,16,0.81494,0.796788,0.120633
8,295,10,18,0.814813,0.796073,0.12107
7,286,10,20,0.815303,0.798095,0.120553
6,269,10,22,0.815043,0.796802,0.120656
6,293,10,24,0.815048,0.796068,0.120554
6,317,10,26,0.814653,0.796386,0.121192
6,341,10,28,0.815149,0.798006,0.120549
4,243,10,30,0.815277,0.798095,0.120648
85,254,12,1,0.812987,0.79906,0.120965
46,229,12,2,0.814516,0.797534,0.120794
34,305,12,4,0.815194,0.796814,0.121117
19,246,12,6,0.81486,0.79754,0.120853
18,305,12,8,0.814933,0.797293,0.120793
11,230,12,10,0.815481,0.799066,0.120633
12,299,12,12,0.815228,0.795261,0.120643
9,260,12,14,0.814888,0.794474,0.120596
9,296,12,16,0.815096,0.797588,0.121062
9,332,12,18,0.814768,0.797534,0.120994
8,327,12,20,0.814898,0.794541,0.120853
7,314,12,22,0.814502,0.796025,0.121017
7,342,12,24,0.814817,0.79531,0.12124
5,264,12,26,0.814895,0.796386,0.121099
6,341,12,28,0.814749,0.796788,0.120746
5,304,12,30,0.814868,0.798297,0.120885
90,269,14,1,0.812678,0.798309,0.120962
60,299,14,2,0.814916,0.797565,0.120735
26,233,14,4,0.814851,0.798329,0.120825
24,311,14,6,0.814942,0.796013,0.120601
16,271,14,8,0.815021,0.796814,0.120509
13,272,14,10,0.814787,0.797721,0.120924
11,274,14,12,0.814911,0.79416,0.120592
11,318,14,14,0.814643,0.796013,0.121039
10,329,14,16,0.81513,0.796782,0.120765
8,295,14,18,0.814648,0.796386,0.120926
8,327,14,20,0.815206,0.797863,0.120849
7,314,14,22,0.814538,0.796062,0.120916
7,342,14,24,0.81471,0.796386,0.121049
5,264,14,26,0.815173,0.797619,0.120716
4,227,14,28,0.814708,0.795181,0.120937
5,304,14,30,0.815191,0.795238,0.120568
58,173,16,1,0.812144,0.795244,0.120983
