"",y,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4,dataset
0,0,0.14882506527415143,0.14986945169712793,0.5345263113205544,0.190284436996608,0.6068320278503045,0.6005221932114883,0.0,0.629951690821256,0.19905352203475707,0.16070496083550914,0.37705769347422385,0.9684701926100092,0.7958616719872239,0.0026109660574412533,0.968552515866902,0.5029839612085043,0.6665942546360029,0.7531068952216016,0.9944458159043544,Australian
1,1,0.20846905537459284,0.22996742671009776,0.7164270014035645,0.2373906819859962,0.5200868621064061,0.9625407166123778,0.19843342036553524,0.7033816425120772,0.24757101263424902,0.23143322475570033,0.424375949358279,0.9703753379744948,0.8045457484115136,0.003257328990228013,0.9704718352449363,0.5409492787342951,0.662329193736959,0.7626328628822745,0.9967978157406755,Australian
2,dataset,0.1753623188405797,0.1855072463768116,0.6154589371980677,0.21124330252087206,0.5682367149758455,0.7615942028985507,0.08828849282930337,0.6626226983126794,0.22064028959134266,0.19217391304347825,0.3981108884835063,0.9693178442431934,0.7997254567151325,0.002898550724637681,0.9694064739090129,0.5198757763975155,0.6646966115983124,0.7573452605430894,0.9954922853967466,Australian
0,0,0.18355359765051396,0.35271659324522764,0.7183879915157448,0.42088411099738166,0.5061184532550171,1.0,0.0,0.6557998483699773,0.42889800121462385,0.3378295224110202,0.3067058794353668,0.9943206357432841,0.8608090658569352,0.0014684287812041115,0.9943289754852176,0.9845147510345749,0.687644414781432,0.8050557071309653,0.9628997789184374,WineQualityRed_5vs6
1,1,0.29780564263322884,0.35391849529780567,0.6750261233019854,0.44925090844704846,0.547370254266806,1.0,0.06314243759177685,0.6775334849633561,0.4514393817848412,0.3626548738617704,0.31692603805053315,0.9954503624454364,0.8670831739106415,0.001567398119122257,0.995457493538782,0.9794813337133086,0.6864603040340365,0.803597540402405,0.96057832138534,WineQualityRed_5vs6
2,dataset,0.23881728582259287,0.35329795299469297,0.697413865723191,0.4346051244718983,0.5260719400219022,1.0,0.03054198270170859,0.6663124034469868,0.4398012618695129,0.3498375392613452,0.31164936783299846,0.9948670842921645,0.8638438504954983,0.001516300227445034,0.9948748394110509,0.9820800882211043,0.6870716606822369,0.8043503922160135,0.9617768904376823,WineQualityRed_5vs6
0,0,0.28077753779697623,0.36760259179265664,0.7392162912681272,0.43460919352866867,0.5763138948884089,1.0,0.0,0.6539611360239163,0.49561501435985683,0.3939524838012959,0.4130715836618292,0.9954886725945041,0.919016087104366,0.0021598272138228943,0.995498416282205,0.7348812095032398,0.0,0.7127463738036899,0.9531116183584681,Yeast_CYTvsNUC
1,1,0.3916083916083916,0.46386946386946387,0.7269397269397269,0.46905374499714125,0.5261590261590262,1.0,0.07343412526997839,0.679372197309417,0.5037925907688112,0.4356254856254856,0.4763456499473682,0.9964544800993399,0.8989458836400522,0.002331002331002331,0.996462744714493,0.7392191142191142,0.0,0.7158698107394914,0.9500554770003403,Yeast_CYTvsNUC
2,dataset,0.33408071748878926,0.41390134529147987,0.7333119795003203,0.4511750148066672,0.552192326856004,1.0,0.03531753334172728,0.6661823751399251,0.49954795189286294,0.41399476831091175,0.4435027209224752,0.9959531697016505,0.9093634892498923,0.002242152466367713,0.9959622020416797,0.7369674887892377,0.0,0.7142485648860428,0.9516417925259156,Yeast_CYTvsNUC
0,0,0.13953488372093023,0.07441860465116279,0.046511627906976744,0.043692741367159976,0.27325581395348836,1.0,0.0,0.6126126126126127,0.19549434772659469,0.06976744186046512,0.22853859910635574,0.517718715393134,0.6426434430317666,0.023255813953488372,0.5289345592212007,0.36627906976744184,0.0,0.5949042577025899,0.9019948859990797,analcatdata_gviolence
1,1,0.3548387096774194,0.0967741935483871,0.4596774193548387,0.06060606060606055,0.7903225806451613,1.0,0.2790697674418605,0.7207207207207208,0.17724743307077823,0.056451612903225805,0.27827370463777146,0.689247311827957,0.5613805335407548,0.03225806451612903,0.6992715920915712,0.4596774193548387,0.0,0.6380546848423256,0.9237046958251556,analcatdata_gviolence
