RUN,SPEED1,TOTAL,SPEED2,NUMBER2,SENS,TIME,class
25.0,2.0,10.0,1.5,0.0,6.0,5.7,majority
24.0,2.0,10.0,1.5,0.0,10.0,17.56,minority
30.0,2.0,10.0,1.5,2.0,6.0,11.28,majority
2.0,2.0,10.0,1.5,2.0,10.0,8.39,majority
40.0,2.0,10.0,2.5,0.0,6.0,16.67,majority
37.0,2.0,10.0,2.5,0.0,10.0,12.04,majority
16.0,2.0,10.0,2.5,2.0,6.0,9.22,majority
22.0,2.0,10.0,2.5,2.0,10.0,3.94,majority
33.0,2.0,30.0,1.5,0.0,6.0,27.02,majority
17.0,2.0,30.0,1.5,0.0,10.0,19.46,majority
28.0,2.0,30.0,1.5,2.0,6.0,18.54,majority
27.0,2.0,30.0,1.5,2.0,10.0,25.7,majority
14.0,2.0,30.0,2.5,0.0,6.0,19.02,majority
13.0,2.0,30.0,2.5,0.0,10.0,22.39,majority
4.0,2.0,30.0,2.5,2.0,6.0,23.85,majority
21.0,2.0,30.0,2.5,2.0,10.0,30.12,majority
23.0,6.0,10.0,1.5,0.0,6.0,13.42,majority
35.0,6.0,10.0,1.5,0.0,10.0,34.26,minority
19.0,6.0,10.0,1.5,2.0,6.0,39.74,minority
34.0,6.0,10.0,1.5,2.0,10.0,10.6,majority
31.0,6.0,10.0,2.5,0.0,6.0,28.89,minority
9.0,6.0,10.0,2.5,0.0,10.0,35.61,minority
38.0,6.0,10.0,2.5,2.0,6.0,17.2,minority
15.0,6.0,10.0,2.5,2.0,10.0,6.0,majority
39.0,6.0,30.0,1.5,0.0,6.0,129.45,minority
8.0,6.0,30.0,1.5,0.0,0.0,107.38,minority
26.0,6.0,30.0,1.5,2.0,6.0,111.66,minority
11.0,6.0,30.0,1.5,2.0,0.0,109.1,minority
6.0,6.0,30.0,2.5,0.0,6.0,100.43,minority
20.0,6.0,30.0,2.5,0.0,0.0,109.28,minority
10.0,6.0,30.0,2.5,2.0,6.0,106.46,minority
32.0,6.0,30.0,2.5,2.0,0.0,134.01,minority
1.0,4.0,20.0,2.0,1.0,8.0,10.78,majority
3.0,4.0,20.0,2.0,1.0,8.0,9.39,majority
5.0,4.0,20.0,2.0,1.0,8.0,9.84,majority
7.0,4.0,20.0,2.0,1.0,8.0,13.94,majority
12.0,4.0,20.0,2.0,1.0,8.0,12.33,majority
18.0,4.0,20.0,2.0,1.0,8.0,7.32,majority
29.0,4.0,20.0,2.0,1.0,8.0,7.91,majority
36.0,4.0,20.0,2.0,1.0,8.0,15.58,majority
