obs,e,z,class
1.0,0.057,0.0,majority
2.0,0.064,0.0,majority
3.0,0.064,0.0,majority
4.0,0.066,1.0,majority
5.0,0.462,0.0,majority
6.0,0.086,0.0,majority
7.0,0.114,0.0,majority
8.0,0.117,0.0,majority
9.0,0.118,0.0,majority
10.0,0.119,0.0,majority
11.0,0.126,0.0,majority
12.0,0.231,1.0,majority
13.0,0.261,1.0,majority
14.0,0.211,1.0,majority
15.0,0.216,1.0,majority
16.0,0.218,0.0,majority
17.0,0.648,1.0,majority
18.0,0.143,0.0,majority
19.0,0.144,2.0,majority
20.0,0.21,1.0,majority
21.0,0.244,0.0,majority
22.0,0.53,3.0,majority
23.0,0.796,2.0,majority
24.0,1.622,4.0,majority
25.0,0.561,2.0,majority
26.0,0.762,0.0,majority
27.0,1.222,1.0,majority
28.0,0.513,4.0,majority
29.0,0.532,0.0,majority
30.0,0.936,1.0,majority
31.0,0.503,1.0,majority
32.0,0.564,0.0,majority
33.0,0.572,2.0,majority
34.0,0.583,0.0,majority
35.0,0.722,0.0,majority
36.0,0.771,2.0,majority
37.0,1.873,4.0,majority
38.0,0.532,0.0,majority
39.0,0.584,0.0,majority
40.0,0.672,2.0,majority
41.0,0.722,1.0,majority
42.0,0.904,1.0,majority
43.0,1.236,0.0,majority
44.0,0.95,0.0,majority
45.0,1.405,1.0,majority
46.0,0.776,3.0,majority
47.0,1.013,0.0,majority
48.0,0.739,0.0,majority
49.0,1.77,1.0,majority
50.0,0.821,0.0,majority
51.0,1.115,2.0,majority
52.0,1.164,3.0,majority
53.0,1.164,0.0,majority
54.0,1.303,0.0,majority
55.0,1.774,3.0,majority
56.0,3.585,1.0,majority
57.0,1.193,1.0,majority
58.0,1.213,1.0,majority
59.0,1.232,1.0,majority
60.0,1.517,4.0,majority
61.0,1.52,3.0,majority
62.0,1.862,3.0,majority
63.0,1.888,1.0,majority
64.0,1.247,0.0,majority
65.0,1.381,2.0,majority
66.0,1.643,2.0,majority
67.0,1.66,4.0,majority
68.0,1.827,4.0,majority
69.0,1.486,3.0,majority
70.0,1.593,2.0,majority
71.0,2.265,4.0,majority
72.0,1.524,1.0,majority
73.0,1.759,3.0,majority
74.0,1.309,0.0,majority
75.0,1.529,4.0,majority
76.0,1.677,1.0,majority
77.0,1.654,2.0,majority
78.0,1.785,3.0,majority
79.0,1.979,4.0,majority
80.0,1.767,4.0,majority
81.0,2.465,2.0,majority
82.0,1.75,2.0,majority
83.0,2.458,4.0,majority
84.0,2.383,2.0,minority
85.0,2.717,3.0,minority
86.0,2.282,0.0,minority
87.0,2.115,0.0,minority
88.0,2.852,2.0,minority
89.0,2.856,5.0,minority
90.0,3.174,5.0,minority
91.0,2.369,1.0,minority
92.0,2.557,1.0,minority
93.0,3.859,3.0,minority
94.0,2.641,1.0,minority
95.0,2.741,1.0,minority
96.0,3.055,3.0,minority
97.0,3.513,1.0,minority
98.0,2.728,2.0,minority
99.0,3.354,6.0,minority
100.0,3.814,0.0,minority
101.0,4.014,2.0,minority
102.0,2.612,2.0,minority
103.0,2.815,1.0,minority
104.0,4.294,2.0,minority
105.0,3.45,8.0,minority
106.0,3.628,6.0,minority
107.0,4.219,1.0,minority
108.0,3.932,6.0,minority
109.0,4.082,4.0,minority
110.0,4.203,1.0,minority
111.0,4.022,3.0,minority
112.0,4.636,5.0,minority
113.0,5.571,2.0,minority
114.0,6.436,4.0,minority
115.0,5.344,3.0,minority
116.0,4.445,4.0,minority
117.0,4.705,5.0,minority
118.0,5.039,2.0,minority
119.0,6.043,6.0,minority
120.0,5.121,8.0,minority
121.0,11.26,5.0,minority
122.0,5.789,0.0,minority
123.0,6.044,6.0,minority
124.0,5.569,8.0,minority
125.0,6.13,7.0,minority
126.0,6.249,3.0,minority
127.0,7.002,3.0,minority
128.0,7.851,9.0,minority
129.0,9.573,7.0,minority
130.0,12.05,18.0,minority
131.0,12.131,17.0,minority
