col_1,col_2,col_3,col_4,y
1.0,2.2,5.5,2.4,1
2.0,2.2,4.5,2.4,1
3.0,2.3,5.1,2.4,1
4.0,2.0,5.5,2.2,1
5.0,1.6,5.7,2.1,1
6.0,1.4,5.1,1.5,0
7.0,1.8,4.3,2.3,0
8.0,2.2,4.8,2.3,1
9.0,2.9,5.6,2.5,1
10.0,2.6,5.9,2.0,0
11.0,2.4,6.0,1.9,0
12.0,2.1,5.1,1.7,1
13.0,3.0,5.2,2.2,1
14.0,2.5,4.4,1.8,1
15.0,2.7,5.5,3.2,0
16.0,2.2,5.4,3.2,0
17.0,2.4,4.1,2.7,1
18.0,2.7,4.4,2.2,1
19.0,3.1,4.7,2.2,1
20.0,2.5,4.6,1.9,1
21.0,2.4,6.0,1.9,1
22.0,2.3,5.6,1.8,0
23.0,2.4,5.1,2.7,0
24.0,1.9,4.7,3.0,0
25.0,3.3,4.8,2.3,1
26.0,3.8,5.5,2.0,1
27.0,3.7,5.1,2.0,0
28.0,3.5,5.2,2.9,0
29.0,3.1,5.0,2.9,0
30.0,2.7,4.0,2.7,1
31.0,4.1,3.7,2.7,1
32.0,4.0,4.8,2.3,0
33.0,3.4,5.9,2.6,0
34.0,3.2,5.5,2.4,0
35.0,3.7,4.9,1.8,0
36.0,3.6,4.4,1.7,1
37.0,4.1,4.7,1.5,1
38.0,2.0,4.2,1.4,0
39.0,4.6,5.5,2.1,0
40.0,4.1,4.9,3.3,0
41.0,3.2,4.8,3.5,1
42.0,2.9,4.5,3.5,0
43.0,2.7,4.9,3.1,0
44.0,3.0,4.9,2.6,0
45.0,0.0,4.5,2.1,1
46.0,0.0,4.2,3.4,0
47.0,0.0,4.9,3.0,0
48.0,0.0,5.9,2.9,0
