,Hostility
0,0.6312674777790206
1,0.7007119222234651
2,0.2617537400743625
3,0.7114605456399232
4,0.7496429302230407
5,0.21841531651658241
6,0.24430007550716937
7,0.5965591939677305
8,0.39756192881192876
9,0.5664192804355672
10,0.3549857131151182
11,0.39268489095616754
12,0.6771181134558744
13,0.22994040311029262
14,0.12160795720922313
15,0.5381033619547223
16,0.1811526874900904
17,0.5964579656605631
18,0.4407792082380384
19,0.1724515780783641
20,0.7751058931860038
21,0.4433772246272246
22,0.21674518535880305
23,0.3191640294981879
24,0.5437259499759499
25,0.3735262761177395
26,0.6028064946770896
27,0.4452058993595289
28,0.3851362517204101
29,0.5917515016600382
30,0.3469418072759657
31,0.4407792082380384
32,0.7498697214734951
33,0.6028064946770896
34,0.34119067660734326
35,0.2437325222209794
36,0.7496429302230407
37,0.5437259499759499
38,0.2617530811729707
39,0.376201374472651
40,0.595227150768388
41,0.47721022563240323
42,0.47721022563240323
43,0.22674518535880306
44,0.7774207080008185
45,0.23666946913283693
46,0.46419816732757235
47,0.46638625172041015
48,0.12577462387588978
49,0.36204013377926414
50,0.30087470056529464
51,0.6907919661013721
52,0.12577462387588978
53,0.4584988666282718
54,0.14557940875076425
55,0.14660706977695925
56,0.24521467900705995
57,0.4781095249801198
58,0.38335738335738334
59,0.6148637482795898
60,0.5702795745532142
61,0.5895780564486514
62,0.4452058993595289
63,0.3549857131151182
64,0.6019030772124832
65,0.6907919661013721
66,0.3306366053271994
67,0.5775301356102461
68,0.5841188602674999
69,0.2168669732043762
70,0.36142877184543853
71,0.33911269724210236
72,0.7364361791681884
73,0.5218904750198801
74,0.7474187410813382
75,0.46949083753207466
76,0.4452058993595289
77,0.36142877184543853
78,0.42515242342369997
79,0.14607347989700925
80,0.22535629646991417
81,0.12712597522724112
82,0.12577462387588978
83,0.2635638208318116
84,0.5403647697353646
85,0.30022279432656784
86,0.5074102242808192
87,0.14035795720922306
88,0.3986372719085485
89,0.15702373644362588
90,0.4721311397325001
91,0.45999634195510486
92,0.2617530811729707
93,0.40550916246792545
94,0.3846758291345921
95,0.18675131229479058
96,0.30680007550716937
97,0.28966351276477864
98,0.2623188405797102
99,0.6150673400673401
100,0.34254136723196127
101,0.17286242340590174
102,0.3224515780783641
103,0.22121429067305365
104,0.43528977436759686
105,0.5934476780014901
106,0.165959843533373
107,0.3986372719085485
108,0.25013027852650493
109,0.42217582913459206
110,0.22179371554371552
111,0.17712597522724105
112,0.2869858116764058
113,0.7489486916807009
114,0.6307056788262737
115,0.14482224292350876
116,0.564503308797818
117,0.3471311397325001
118,0.6348092141798091
119,0.4584988666282718
120,0.30920803389862794
121,0.40849886662827173
122,0.11350931677018627
123,0.14557940875076425
124,0.376201374472651
125,0.6070314364020313
126,0.4452058993595289
127,0.4452058993595289
128,0.3355038987792337
129,0.1564417258616153
130,0.17599123903471736
131,0.5378485359691308
132,0.4849963419551049
133,0.2617530811729707
134,0.6296426567259901
135,0.14035795720922306
136,0.36142877184543853
137,0.6182056788262738
138,0.16518419120218197
139,0.12712597522724112
140,0.4082484983399618
141,0.18133017943144525
142,0.4600806788262737
143,0.2151841912021819
144,0.20970984353337296
145,0.22036837376460017
146,0.40338523026463535
147,0.14156077348066298
148,0.7212982929020665
149,0.14035795720922306
150,0.734815808797818
151,0.14607347989700925
152,0.21317252044051116
153,0.165959843533373
154,0.13508198318324904
155,0.1820246238758897
156,0.4671426567259901
157,0.5547941006404711
158,0.14557940875076425
159,0.20285795720922306
160,0.4236223454929404
161,0.21317252044051116
162,0.3834988666282717
163,0.22179371554371552
164,0.5278688602674999
165,0.13508198318324904
166,0.3355038987792337
167,0.27232704834503907
168,0.2425651435831344
169,0.16466351276477864
170,0.1806974037986696
171,0.1724515780783641
172,0.13508198318324904
173,0.2835571416865468
174,0.15702373644362588
175,0.3538862517204101
176,0.28539918888764604
177,0.48704013377926425
178,0.4415609419841685
179,0.2437325222209794
180,0.23788095733972026
181,0.2592080338986279
182,0.17712597522724105
183,0.5855435589657365
184,0.23772279432656784
185,0.3457484983399618
186,0.2842080338986279
187,0.41929432117372634
188,0.47721022563240323
189,0.5917515016600382
190,0.14557940875076425
191,0.5378485359691308
192,0.3510394543600768
193,0.17600931677018627
194,0.32340067340067336
195,0.40655232199851
196,0.7276729516549609
197,0.2617537400743625
198,0.30920803389862794
199,0.5452299713786111
200,0.5708315034401991
201,0.38782166907166904
202,0.7563473125099096
203,0.12160795720922313
204,0.5895780564486514
205,0.4125261607974374
206,0.6906760686246002
207,0.3093239313753998
208,0.7587982929020665
209,0.2168669732043762
210,0.5541426166426167
211,0.22883198318324904
212,0.39574849833996173
213,0.4457484983399618
214,0.6042515016600383
215,0.23788095733972026
216,0.5415011333717283
217,0.5074102242808192
218,0.21674518535880305
219,0.16518419120218197
220,0.5437259499759499
221,0.6931999244928306
222,0.27843880312939717
223,0.18093922651933703
224,0.4452058993595289
225,0.14482224292350876
226,0.3440182248156274
227,0.38335738335738334
228,0.5278688602674999
229,0.45925024050024055
230,0.7781028458348551
231,0.20195752105142195
232,0.23772279432656784
233,0.5592207917619616
234,0.7563473125099096
235,0.34798647878388134
236,0.7355139791765763
237,0.18180007550716937
238,0.281215219877459
239,0.3769984983399618
240,0.17870170709793354
241,0.39574849833996173
242,0.5601928583134532
243,0.36638625172041017
244,0.4398071416865468
245,0.14660706977695925
246,0.17870170709793354
247,0.6372772056734322
248,0.46411346238473894
249,0.7145033087978181
250,0.21317252044051116
251,0.1291684965598009
252,0.5336137482795899
253,0.12712597522724112
254,0.4227897743675969
255,0.12577462387588978
256,0.4501374970080919
257,0.4452058993595289
258,0.7364361791681884
259,0.4618966380452777
260,0.22179371554371552
261,0.18827462387588978
262,0.2869858116764058
263,0.6489605456399232
264,0.2349515780783641
265,0.4915011333717283
266,0.42217582913459206
267,0.3929685635979687
268,0.319060773480663
269,0.6906760686246002
270,0.4618966380452777
271,0.46932118807118806
272,0.4125261607974374
273,0.7348665911594974
274,0.8040864872352214
275,0.22257929199918147
276,0.39268489095616754
277,0.34405232199851
278,0.2243813456737267
279,0.2525812589186619
280,0.2623188405797102
281,0.16284026094152682
282,0.27843880312939717
283,0.5415011333717283
284,0.8283920427907769
285,0.12577462387588978
286,0.22507851869213635
287,0.4600806788262737
288,0.4875972021805355
289,0.2508984769164677
290,0.21148048749847825
291,0.5664192804355672
292,0.37035734327400993
293,0.4407792082380384
294,0.72353532099294
295,0.12712597522724112
296,0.7971420427907769
297,0.16029085438475532
298,0.3440182248156274
299,0.7796316262353998
300,0.6150121617512923
301,0.13508198318324904
302,0.36638625172041017
303,0.14035795720922306
304,0.17916849655980094
305,0.13508198318324904
306,0.23772279432656784
307,0.18271467900705995
308,0.2243813456737267
309,0.34119067660734326
310,0.19758198318324904
311,0.2508984769164677
312,0.5399193211737262
313,0.564503308797818
314,0.40338523026463535
315,0.4335807195644329
316,0.22189715416514488
317,0.21029085438475525
318,0.12712597522724112
319,0.49496452621452625
320,0.22603945436007677
321,0.45925024050024055
322,0.5415011333717283
323,0.783254814641197
324,0.5421783309283309
325,0.20370170709793356
326,0.16029085438475532
327,0.7732548146411969
328,0.2835571416865468
329,0.34119067660734326
330,0.4227897743675969
331,0.11350931677018627
332,0.45895341208281715
333,0.12577462387588978
334,0.23687536767277018
335,0.46727284923161216
336,0.4966188602674999
337,0.6574586327680387
338,0.44585738335738334
339,0.4165011333717282
340,0.3191640294981879
341,0.20044083753271613
342,0.40477284923161216
343,0.14508464562812395
344,0.37278977436759686
345,0.14156077348066298
346,0.41042194355134864
347,0.13508198318324904
348,0.5180293947581182
349,0.1549037530050189
350,0.18079893134240965
351,0.21826599326599327
352,0.5415011333717283
353,0.22279085438475532
354,0.3692943211737263
355,0.44344143648267365
356,0.5227263778277382
357,0.3355038987792337
358,0.42072760865083514
359,0.4610647180234809
360,0.30920803389862794
361,0.22121429067305365
362,0.3735262761177395
363,0.3971935053229104
364,0.2617537400743625
365,0.24120170709793354
366,0.6559476780014901
367,0.4452058993595289
368,0.34621429067305365
369,0.5415011333717283
370,0.27232704834503907
371,0.21029085438475525
372,0.31883002453551534
373,0.7929753761241103
374,0.1549037530050189
375,0.23214847691646767
376,0.3895485532107923
377,0.23772279432656784
378,0.20285795720922306
379,0.14035795720922306
380,0.5565585635173265
381,0.4610647180234809
382,0.13508198318324904
383,0.18093922651933703
384,0.16518419120218197
385,0.5306788119288119
386,0.46215146403086915
387,0.6019030772124832
388,0.23214847691646767
389,0.20044083753271613
390,0.42515242342369997
391,0.5763776545070596
392,0.21841531651658241
393,0.14607347989700925
394,0.4162900482488112
395,0.6608873027578976
396,0.36272279432656784
397,0.39809692278751685
398,0.2295237364436259
399,0.16466351276477864
400,0.18905042151378926
401,0.7929753761241103
402,0.5437259499759499
403,0.2437325222209794
404,0.376201374472651
405,0.2437325222209794
406,0.8117253761241103
407,0.17659932659932664
408,0.3163862517204101
409,0.5336137482795899
410,0.281215219877459
411,0.14635674445801028
412,0.16148890959017548
413,0.2165804949767215
414,0.6584195050232786
415,0.7815846834834177
416,0.43285734327400993
417,0.2885394543600768
418,0.19591351276477864
419,0.5278688602674999
420,0.7678515230835323
421,0.12577462387588978
422,0.3515954254467858
423,0.12712597522724112
424,0.34669141035364937
425,0.4584988666282718
426,0.40477284923161216
427,0.12577462387588978
428,0.4711550024050024
429,0.38155232199850997
430,0.7399214813078636
431,0.14607347989700925
432,0.5358018326724275
433,0.14660706977695925
434,0.376201374472651
435,0.7919205912492358
436,0.7897091456152447
437,0.40849886662827173
438,0.2592080338986279
439,0.36288095733972026
440,0.17160795720922306
441,0.6559476780014901
442,0.3846758291345921
443,0.4501374970080919
444,0.6015295745532142
445,0.28423181024980104
446,0.2885394543600768
447,0.2854966912021819
448,0.3692943211737263
449,0.5547941006404711
450,0.14035795720922306
451,0.17286242340590174
452,0.7157919661013721
453,0.1564417258616153
454,0.5895780564486514
455,0.45925024050024055
456,0.18133017943144525
457,0.36142877184543853
458,0.5248128216834166
459,0.41042194355134864
460,0.46932118807118806
461,0.21594477321276395
462,0.4600806788262737
463,0.5399193211737262
464,0.34798647878388134
465,0.4781095249801198
466,0.13508198318324904
467,0.2168669732043762
468,0.5400036580448953
469,0.4457484983399618
470,0.6588093233926567
471,0.3440182248156274
472,0.19896797498596575
473,0.5248128216834166
474,0.2617530811729707
475,0.19142649803027156
476,0.3355038987792337
477,0.5452299713786111
478,0.17599123903471736
479,0.41929432117372634
480,0.16771797498596575
481,0.19591351276477864
482,0.7483409410729502
483,0.5358018326724275
484,0.46419816732757235
485,0.49496452621452625
486,0.670753308797818
487,0.16029085438475532
488,0.16029085438475532
489,0.24091974783963732
490,0.7756186543262733
491,0.381560773480663
492,0.2635638208318116
493,0.1806974037986696
494,0.3510394543600768
495,0.3986372719085485
496,0.36535706977695925
497,0.6931999244928306
498,0.16284026094152682
499,0.5498625029919081
500,0.258073265032028
501,0.5088449975949976
502,0.7697695125015218
503,0.14275097522724112
504,0.4034408060322694
505,0.5542515016600382
506,0.14156077348066298
507,0.18133017943144525
508,0.258073265032028
509,0.3355038987792337
510,0.39072289260229776
511,0.6230015016600382
512,0.12577462387588978
513,0.7498697214734951
514,0.5180293947581182
515,0.23977505919494868
516,0.4236223454929404
517,0.48093922651933696
518,0.734815808797818
519,0.3515954254467858
520,0.2842080338986279
521,0.14035795720922306
522,0.8040864872352214
523,0.6381189565151829
524,0.32340067340067336
525,0.44585738335738334
526,0.17160795720922306
527,0.12160795720922313
528,0.36272279432656784
529,0.20370170709793356
530,0.27232704834503907
531,0.13508198318324904
532,0.552824170865408
533,0.14607347989700925
534,0.17674518535880301
535,0.7950587094574436
536,0.3709390580158315
537,0.48717833092833096
538,0.5292515016600382
539,0.41929432117372634
540,0.12577462387588978
541,0.783254814641197
542,0.47727362217226177
543,0.23772279432656784
544,0.23788095733972026
545,0.39268489095616754
546,0.45477002862138893
547,0.14607347989700925
548,0.2623188405797102
549,0.699777205673432
550,0.7831330267956239
551,0.1564417258616153
552,0.3929685635979687
553,0.4751871783165834
554,0.35210738335738334
555,0.14035795720922306
556,0.4236223454929404
557,0.39756192881192876
558,0.45477002862138893
559,0.28155232199851
560,0.290959843533373
561,0.14035795720922306
562,0.2437325222209794
563,0.27646467900705995
564,0.6775484219216359
565,0.46215146403086915
566,0.17712597522724105
567,0.6164192804355672
568,0.4144564410342636
569,0.30920803389862794
570,0.6164192804355672
571,0.3709390580158315
572,0.30920803389862794
573,0.18827462387588978
574,0.18079893134240965
575,0.5944908375320747
576,0.12712597522724112
577,0.5358018326724275
578,0.22994040311029262
579,0.45895341208281715
580,0.5748475765762999
581,0.4457484983399618
582,0.6990087609652826
583,0.14635674445801028
584,0.48717833092833096
585,0.12712597522724112
586,0.8179753761241103
587,0.15333613579950356
588,0.16148890959017548
589,0.4082484983399618
590,0.12160795720922313
591,0.2085397753910413
592,0.4600806788262737
593,0.5358865376152611
594,0.5410465879171829
595,0.4144564410342636
596,0.3469418072759657
597,0.4922728492316121
598,0.23549669120218197
599,0.5129598662207357
600,0.5086137482795898
601,0.13508198318324904
602,0.21594477321276395
603,0.5415011333717283
604,0.45925024050024055
605,0.20647948487571133
606,0.43285734327400993
607,0.22257929199918147
608,0.1549037530050189
609,0.5403647697353646
610,0.30087470056529464
611,0.12577462387588978
612,0.48717833092833096
613,0.21594477321276395
614,0.12577462387588978
615,0.17870170709793354
616,0.22189715416514488
617,0.4082484983399618
618,0.39072289260229776
619,0.12577462387588978
620,0.19758198318324904
621,0.5915011333717283
622,0.38782166907166904
623,0.1746230420143463
624,0.46215146403086915
625,0.1879441313403578
626,0.3148071416865468
627,0.31929432117372625
628,0.30022279432656784
629,0.18271467900705995
630,0.3954321437034203
631,0.2878809573397203
632,0.4376655332949384
633,0.12712597522724112
634,0.19591351276477864
635,0.30007851869213653
636,0.5542515016600382
637,0.4433772246272246
638,0.555939226519337
639,0.2885394543600768
640,0.16518419120218197
641,0.37278977436759686
642,0.3735262761177395
